title,author,publish_date,content
"Paris Paralympics 2024 Day 6 Live Updates: Shooters Avani Lekhara and Mona Agarwal eye 2nd medals, high jumper Mariyappan Thangavelu in action too",Vinayakk Mohanarangan,2024-09-03 12:19:19+05:30,"Paris Paralympics 2024 Day 6 Live Updates: Check all the updates from Day 6 of the Paris Paralympics

India at Paris 2024 Paralympic Games LIVE Updates: Monday was a historic day where India won a total of eight medals as September 2, 2024 became the country’s single most successful day in the history of Paralympics. And the Indian athletes will be looking to add more medals in their tally on Tuesday.

In shooting, medallists Avani Lekahara and Mona Agarwal, will be back in action in the Women’s 50m Rifle 3 Positions SH1. Avani had won gold in 10m, while Mona finished with bronze in the same event. In athletics, Bhagyashri Jadhav will be in action in women’s shot put F34, and later in the night medal contender Deepthi Jeevanji will be in action in women’s 400m. In the men’s high jump T63 final, India’s high jumper Mariyappan Thangavelu, Sharad Kumar, and Shailesh Kumar will be in action in an event that has been a source of medals in the past two editions.

In the men’s javelin throw F46 event, Ajeet Singh, Rinku and Sundar Singh Gurjar will be in contetion of medal. In the archery, Pooja will be in action in Women’s Individual Recurve Open. Scroll down for all the live updates of Day 6 of the Paris Paralympics"
"RRB NTPC 2024 Recruitment: Over 11,000 vacancies announced, applications begin mid-September",Cdata,2024-09-03 12:18:29+05:30,"RRB NTPC 2024 Recruitment: Applicants can apply for one RRB post and only one application will be required to be submitted (Express image/ representative)

The Railway Recruitment Board (RRB) will begin the applications for the Non-Technical Popular Categories (NTPC) recruitment in mid-September. The recruitment drive seeks to fill around 11,558 vacancies for both graduate and undergraduate posts. The official website of RRB NTPC – rrbapply.gov.in will make the notification and application process available.

As per the RRB NTPC notification, the candidates can apply for graduate level posts from September 14 to October 13 and for undergraduate posts between September 21 and October 20."
What is the case against a Punjab cop over which Speaker has summoned DGP?,Kanchan Vasdev,2024-09-03 12:15:57+05:30,"The case against Faridkot Assistant Sub-Inspector Bohar Singh, over which Punjab Assembly Speaker Kultar Singh Sandhwan has summoned DGP Gaurav Yadav, is related to a 2015 FIR of sexual harassment registered against Anantdeep Singh, who has accused the police officer of bribery.

Anantdeep, 38, son of the Congress municipal councillor from ward 2 in Kotkapura in Faridkot district, Surinderpal Kaur, complained to the police on August 20 that ASI Bohar Singh had accepted a bribe for cancelling the FIR against him.

On Monday, Speaker Sandhwan asked DGP Yadav to appear before him on Tuesday with a report on the corruption case against the ASI, registered under section 7 of the Prevention of Corruption Act 1988 and (Amendment Act 2018).

Advertisement

In 2019, Bohar Singh was mukh munshi in the Kotkapura city police station. “I used to get work done from him and he was given his fees. We were close. FIR 162 of 14 Sept 2015 under section 341 (wrongful restraint), 294 (reciting, singing it uttering any obscene song, ballad or words), 354 A (sexual harassment), 354 B (criminal force to woman with intent to disrobe), 506 (criminal intimidation) and 34 (acts done by several persons in furtherance of common intention) of the IPC was registered against me. This FIR was cancelled in November 2015. Cancellation report was submitted in court in December 2016. But the complainant refused to agree to the cancellation and the case was sent back to the police station for reinvestigation,” Anantdeep said in his complaint.

Anantdeep told The Indian Express that he did not know the complainant in the case against him. “I was framed during the SAD-BJP government as I have been a Congress worker,” he said.

Anantdeep alleged that Bohar Singh had asked for 1.5 lakh to get the FIR cancelled. “On December 5, 2019, I gave him Rs 50,000 in advance. I promised to give him Rs 50,000 in some days. Then Bohar Singh was transferred out of Kotkapura. I met him in Faridkot several times. In April 2020, I met him again and asked him for help. He demanded Rs 50,000 more. On April 17, 2020, I gave him a cheque of Rs 50,000. Bohar Singh got it encashed. As it was Covid time, he kept on promising me. But he has still not got my work done. I met him 15 days ago again and he demanded Rs 50,000 more from me. I asked him to return my advance but he refused. He is now an ASI. I want action taken against him,” he said.

Pragya Jain, SSP, Faridkot, said on Monday that Bohar Singh was suspended on August 24. Bohar Singh was unavailable for comment as all his phones were switched off.

Advertisement

Anantdeep said that Bohar Singh had been posted at the Kotkapura city police station for seven to eight years before he was transferred to the Faridkot police station in 2020.

Anantdeep said he had three FIRs pending against him. “Another one was about a fight with my neighbour. I do not remember the third one. I will give you the details after checking,” he told The Indian Express.

He said the police had declared him a gangster sometime ago. “At that time, I had only one FIR against me and they declared me a gangster. But I want to tell you that all these are fake cases. I have been framed,” he said.

Congress’s allegation against Speaker

Meanwhile, Congress leader Sukhpal Singh Khaira has alleged that Speaker Sandhwan has a personal score to settle with the ASI, posting online a daily diary report (DDR) from June 13.

Advertisement

“The PC ACT case registered against the ASI is a result of DDR No 015 Ps Sadar Faridkot of 12.6.24 registered against Birinder Singh, brother of Speaker Sandhwan, on the complaint of ASI Bohar for abusing & threatening him,” Khaira wrote on X on Tuesday.

The DDR, which records complaints of non-cognisable offences, was registered at the Faridkot Sadar police station. ASI Bohar Singh had alleged that Sandhwan’s brother had called him and used abusive language. He had threatened to get him transferred to a place where he would not get a drop of water.

“So now it is abundantly clear that it’s purely a matter of personal enmity between the family of Speaker and the said ASI and in no manner a matter of public interest that should have been raked up by the Speaker in Vidhan Sabha ignoring burning issues of Punjab!

“I urge @BhagwantMann to order an impartial inquiry into the whole issue of corruption if any and vindictive actions of the Speaker.

Advertisement

“In the meantime, the Speaker should tender an apology for misleading the house by presenting wrong facts besides raising a matter of personal enmity in the house,” Khaira wrote."
Pink seats: Putting the onus of safety on women,Adya Goyal,2024-09-03 12:11:43+05:30,"On a British Airways flight from London to Delhi in 2021, I had the misfortune of being seated next to two White British men from rural England travelling to India to work on an oil rig project in Vizag. In the beginning, the questions were reasonable: “Where are you from? What do you do? Where do you study?”. After the flight took off, and food and drinks were served — I had my customary apple juice, the men, wine and whiskey — the questions and the situation got worse. As the men got progressively drunker, courtesy questions were replaced by “Do you have a boyfriend?”, “Are your parents forcing you to get married?” and “Don’t they do that in India?” I kept getting elbowed “by mistake”. At some point, the alcohol wore them down and they fell asleep. An airhostess hurried towards me and apologised profusely for the men’s rowdy behaviour citing complaints by other passengers around. I was moved to an alternate seat and comforted with free chocolate and snacks.

This is only one instance of the kinds of harassment women face on a regular basis, whether during travel, at the workplace, on the street, or even in one’s own home. This is why when IndiGo rolled out its new feature that allows women, during web check-in, to see where other women are seated (indicated in pink), I lauded the airline for its initiative.

But after reflecting more deeply, I realised it was not so black-and-white. This move, as espoused by the airline itself, is in line with the company’s #GirlPower campaign. IndiGo has one of the highest percentages of female pilots across the world and boasts of an over 44 per cent workforce that is female. From the outside, the airline is an ally, a champion of women’s empowerment. But at the end of the day, it is a profit-making enterprise. And, its profit-maximising motive is most evident in this move, which has been launched under the guise of “celebrating” women. It exemplifies the notion of what professor Catherine Rottenberg termed “neoliberal feminism”.

Advertisement

In a 2014 article, Rottenberg analysed former Meta COO Sheryl Sandberg’s book Lean In and made a case for a new kind of feminism that individualises empowerment: “Neoliberal feminism is predominantly concerned with instating a feminist subject who epitomises ‘self-responsibility,’ and who no longer demands anything from the state or the government, or even from men as a group.” It is the idea that the problem of gender inequality is not structural but individual, and that every woman now can have it all — if only they want it. The onus is thus on women, as the “weaker” sex, to emancipate themselves.

Giving women, in this case, the choice of sitting next to other women, illustrates this fact. Most IndiGo seats are already paid ones, unless you choose to get assigned a seat at random. As yet, there is no additional charge for women to avail the feature of being able to see where other women are seated. But being able to see where one is seated may push more women to pay to pick their seats away from men. This feature then, can be even greater incentive for them to pay their way out of an uncomfortable experience of manspreading and being forced to close into oneself for fear of unwanted touching. Under the guise of handing women power, the airline is essentially normalising the behaviour of men and saying that if women want to escape this, they have an option to do so. Safety is your right, of course, but only as long as you can shell out the money! The fact of having to pay for a seat with the implicit idea that we can now buy safety shifts the burden of responsibility on women — yet again individualising what is, in essence, a systemic issue.

Unless the misbehaviour and entitlement of men on flights, and public spaces in general, is addressed, token “feminist” measures such as this one will only continue to place the blame on women. The inherent masculinisation of public spaces often makes them inhibiting for women. From public transport to roads, parks and even leisure spaces like restaurants and dhabas, most public spaces are geared for men, and hence, exclusionary. Something as simple as moving to the side in an elevator to make space for other people does not naturally occur to men. The infrastructure is intentionally invasive and imposing where women are meant to feel uncomfortable.

The idea of neoliberal feminism does not take into account these societal barriers that women face in accessing public spaces. IndiGo’s policy has further advanced the narrative of “men will be men” and hence, women must adjust. In this case, women must adjust by choosing to be cloistered with other women to feel safe in a closed environment. So that next time, in case of any untoward incident, the response is, “Oh! But she should have chosen to sit next to a woman.”

adya.goyal@expressindia.com"
Pakistan witnessed 59 terror attacks in August,Cdata,2024-09-03 12:11:28+05:30,"In continued increase in terror attacks, a total of 59 terrorist attacks occurred across Pakistan in August 2024 killing 84 people compared to 38 such attacks in the previous month, a media report said on Tuesday.

The August attacks take the total number of attacks in 2024 to 325, according to the digital database of security incidents managed by the Pak Institute for Peace Studies (PIPS), an Islamabad-based think-tank.

These incidents include 29 attacks in Khyber Pakhtunkhwa, 28 in Balochistan and two in Punjab, the PIPS data said, adding, as many as 84 people were killed and 166 others were injured, newspaper The Dawn said.

Advertisement

Also, since 2006, there have been 17,846 terrorist incidents in which 24,373 people have been killed and 48,085 others injured, according to the PIPS database.

Balochistan experienced 28 terrorist incidents during August 2024, which resulted in 57 deaths and injuries to another 84 people. Most of these terrorism-related casualties resulted from the banned Balochistan Liberation Army (BLA) orchestrated simultaneous attacks on August 26 in over seven districts of the province targeting security forces, non-Baloch people, mainly Punjabis, and national infrastructure.

August 26 was the death anniversary of Baloch chieftain Nawab Akbar Bugti when the group launched coordinated attacks across Balochistan.

In Khyber Pakhtunkhwa, 29 terrorist attacks claimed 25 lives and wounded 80 others. The banned Tehreek-e-Taliban Pakistan (TTP), Hafiz Gul Bahadur Group, Lashkar-e-Islam, Islamic State-Khorasan (IS-K) and a few local Taliban groups reportedly carried out these attacks, the report said.

Advertisement

Two attacks from Punjab injured two civilians and killed two of the attackers.

Meanwhile, security forces and the counterterrorism departments (CTDs) of the police conducted 12 anti-militant operations in the country in August compared to 11 in the previous month.

In these operations, 88 militants were killed and 15 army soldiers and three policemen martyred. Eight out of the 12 reported operations took place in Khyber Pakhtunkhwa, while four others took place in Balochistan.

Drawing attention to how 26 out of the total 28 attacks recorded in Balochistan were carried out by the banned Balochistan Liberation Army (BLA), the PIPS said in its monthly security report that the armed group has escalated its destructive activities, executing high-impact attacks and using female suicide bombers.

Advertisement

The report underlines that the involvement of numerous militants and the use of sophisticated weaponry including vehicle-borne explosives, indicates BLA’s growing capabilities.

The group has adopted new tactics, such as targeting Punjabis on highways by checking identity cards — a development that may further strain relations between the province and the central government, which seems to be one of the banned entity’s objectives.

The PIPS also said that positioning itself as a defender of Balochs’ interests, the BLA exploits grievances like enforced disappearances and resource exploitation and as the Baloch people lose faith in the political process, the group may gain more support.

“To counter this, the government must create political and social spaces for the Baloch people,” the report recommended.

Advertisement

Additionally, there is an urgent need to investigate the BLA’s sources of training, weapons and funding. Pakistan should engage constructively with Afghanistan and Iran to develop a joint counterterrorism and border security strategy, the report advised."
"Congo says 129 people died during an attempted jailbreak, many of them in a stampede",Cdata,2024-09-03 12:03:43+05:30,"Gunfire inside the prison started around midnight on Sunday into Monday morning, residents said. A senior government official earlier said only two deaths were confirmed during the incident, a figure disputed by rights activists.

At least 129 people died during an attempted jailbreak in Congo’s main prison in the capital, authorities said Tuesday, most of them killed in a stampede.

A provisional assessment showed that 24 inmates were shot dead by “warning” gunshots as they tried to escape from the overcrowded Makala prison in Kinshasa early Monday, Congolese Interior Minister Jacquemin Shabani said on the social platform X."
"Vikram recalls losing eyesight for several months after Kasi shoot, says he came close to organ failure after I",Cdata,2024-09-03 11:59:08+05:30,"Actor Vikram has undergone significant physical transformations for various roles in the past, and he once again altered his physique for his latest release, Thangalaan. In a recent interaction, the actor revealed that these extreme physical changes have, at times, had dire consequences. Despite the risks, he admitted that he enjoys the process of embodying roles that are far removed from his real-life personality.

Speaking to Pinkvilla about his physical transformations and what excites him about different roles, Vikram said, “It’s my passion for acting and cinema. I want to do something out of ordinary. I don’t drink and smoke but life is my poison. I get a high when I perform.”"
"After changes at helm, bureaucratic rejig expected soon in Delhi govt departments",Jatin Anand,2024-09-03 11:58:06+05:30,"Several senior officials posted across various Delhi government departments are likely to be reshuffled as part of a larger bureaucratic overhaul expected to be affected by the Ministry of Home Affairs (MHA) over the coming days, according to sources aware of the developments.

Between 40 to 60 IAS, IPS, DANICS (Delhi, Andaman and Nicobar Islands, Lakshadweep, Dadra and Nagar Haveli and Daman and Diu Civil Service) and DANIPS (Delhi, Andaman and Nicobar Islands Police Service) officials are likely to be part of the exercise which, among other factors, has been necessitated by existing or upcoming vacancies on posts ranging from Chief Secretary to Director General among others in several AGMUT (Arunachal Pradesh-Goa-Mizoram and Union Territory), or Central, cadre territories, sources said.

AGMUT cadre officials — posted in ministries and policing divisions under the central government in the Capital as well as the Delhi government, belonging to batches between 1990 and 1996 — are expected to be part of the reshuffle following a change at the helm both at the MHA and the Delhi administration in August.

Advertisement

After 1989-batch Sikkim cadre IAS officer Govind Mohan was last appointed recently as the Union Home Secretary, his batchmate and AGMUT cadre officer, Dharmendra, took over as Delhi’s Chief Secretary, the head of the city’s civil administration, within days.

“There are several senior IAS officials, either currently in the Government of India or in Delhi government departments, who have been posted in the Capital for more than three years; they will be part of the overhaul,” a senior government official said.

“Among the significant appointments which are now expected are on the posts of the Chief Secretaries of Arunachal Pradesh, Mizoram, Goa, and Andaman; on the other hand, the crucial post of Principal Secretary (Home) in the Delhi government and Chairperson, New Delhi Municipal Council is also expected to be impacted,” the official added.

Sources said 1995-batch AGMUT cadre IAS officer Keshav Chandra, serving as the Chief Secretary of Andaman since 2022, was being considered a frontrunner for the post of New Delhi Municipal Council (NDMC) chairperson while 1995-batch officer Sajjan Singh Yadav, an additional secretary in the Union Finance Ministry, was said to be in the running to replace Dharmendra in Arunachal Pradesh.

Advertisement

The MHA, according to sources, was also looking for a replacement for 1988-batch IAS officer Renu Sharma, who has been serving as the Chief Secretary of Mizoram since November 2021, and is due to retire next month; and 1991-batch AGMUT cadre officer Puneet Kumar Goel who has been serving as the Goa Chief Secretary since February 2022."
Celebrate but sans noise – doctors appeal before festive season,Anuradha Mascarenhas,2024-09-03 11:51:17+05:30,"As the city prepares for Ganeshotsav, top ENT consultants have appealed to citizens and authorities to ensure noise levels do not exceed permissible limits.

An order issued by the National Green Tribunal (western zone) on August 30 also noted that permissible noise levels prescribed under Noise Rules, 2000, were routinely violated during the Ganesh festival and directed the Maharashtra Pollution Control Board (MPCB) to conduct real-time noise monitoring at multiple locations and limit the capacity of loudspeakers at mandals.

On the pressing issue of noise pollution during the Ganesh festival, Pune-based audiologist Dr Kalyani Mandke sought directions to implement effective noise control measures, particularly concerning the use of loudspeakers and public address systems.

Advertisement

“The NGT directives are good ones. The tribunal directions are aimed at ensuring compliance with the Noise Pollution Rules and protecting the fundamental rights of citizens to a peaceful environment,” Dr Mandke said while quoting the order. “I do not expect changes overnight but these directives are important for sensitization of the community,” Dr Mandke told The Indian Express.

While the MPCB has been directed to conduct real-time noise monitoring at multiple locations near each Ganesh pandal and during Visarjan processions, the tribunal also said the total capacity of loudspeakers should be limited to a maximum of 100 watts, with specific conditions based on the location of the Ganesh mandals.

Also Read | Pune’ Dagdusheth Halwai Trust to replicate Jatoli Shiv Temple for this Ganesh Utsav

In cases of violation, the police were authorized to seize loudspeakers and sound systems and the tribunal has mandated the state government to conduct public awareness programs regarding the adverse effects of noise pollution.The order also stated that there should be a robust grievance mechanism for residents to report on cases of noise violations.

The World Health Organization defines noise above 65 decibels (dB) as noise pollution and above 75 dB as harmful noise. Noise about 120 dB is painful. Dr Seemab Shaikh, noted senior ENT consultant, strongly supported Dr Mandke’s petition and said that over the years, noise levels have exceeded prescribed limits laid down by WHO. “The hazards of high intensity noise exposure have been well documented and we need effective regulations to be implemented,” said Dr Shaikh.

Advertisement

“The NGT decision is very significant with all scientific facts. Concerned authorities need to work on effective implementation on ground at the micro level,” said Dr Mahesh Shindikar, head, Department of Applied Sciences and Humanities, COEP Technological University, Pune, who has led different teams of students for more than two decades in monitoring sound levels at various locations along Laxmi Road on the last day of the Ganesh festival.

Dr Robert Lobo, president of the Association of Otolaryngologists of India, Pune branch, said they have issued a friendly advisory to mandals and any society/individuals using loudspeakers to refrain from exceeding 85 dB noise levels. “Over the years, post festival, we have seen a rise in case of partial noise-induced deafness,” said Dr Lobo.

While ushering in the festive spirt and celebrating Ganesh festival, Pune district collector Dr Suhas Diwase has appealed mandals and cooperative housing societies to exercise self-restraint and abide by the noise control rules. “There are more than 3,000 mandals and we are talking to them. This is a social issue that has to be sensitively handled. We have told the agencies like police, civic and pollution control bodies to effectively implement noise pollution rules and as directed by the NGT order,” said Dr Diwase."
Traffic diversions in place for President Murmu’s visit to Pune today: check routes to avoid,Cdata,2024-09-03 11:51:01+05:30,"The route between Nande Gaon, Sunny's World and Sus will be closed for light and heavy vehicles from Tuesday morning until 4 pm. (File Photo)

The Pune district collector has notified traffic changes for Tuesday on the route between Nande Gaon to Sus for the movement of the convoy of President Droupadi Murmu, who is visiting Symbiosis University at Lavale for a convocation ceremony.

President Murmu, who is on a three-day visit to Maharashtra, will preside over the convocation of the Symbiosis International Deemed University on Tuesday.

In a notification issued last week, Suhas Diwase, District Collector, Pune, had notified the following traffic changes: Advertisement The route between Nande Gaon, Sunny’s World and Sus will be closed for light and heavy vehicles from Tuesday morning until 4 pm. This traffic has been diverted vila Nande Gaon to Male and Hinjewadi or via Nande Gaon, Pirangut and Chandani Chowk. These restrictions will not apply to vehicles in government service, military and police vehicles, vehicles involved in emergency services and those with authentication of passage for the event, the notification by Diwase read."
